controller,filter,episodes,successes,success_rate,horizons,horizon_rate,horizon_hold_failures,position_limit,velocity_limit,strict_exceedances,resolved_exceedances,resolved_exceedance_rate,successes_without_resolved_exceedance,safe_success_rate,filter_decisions,interventions,intervention_rate,refusals,legacy_max_abs_position_interval_m,safety_max_abs_position_interval_m
SAC_seed0,off,140,85,0.6071428571428571,85,0.6071428571428571,0,55,0,62,62,0.44285714285714284,78,0.5571428571428572,,,,0,0.25000000000000044,0.25000000000000044
SAC_seed0,on,140,135,0.9642857142857143,140,1.0,5,0,0,0,0,0.0,135,0.9642857142857143,140000,1377,0.009835714285714286,0,0.23999899999999985,0.23999899999999985
SAC_seed1,off,140,71,0.5071428571428571,75,0.5357142857142857,4,65,0,76,76,0.5428571428571428,64,0.45714285714285713,,,,0,0.25000000000000017,0.25000000000000017
SAC_seed1,on,140,129,0.9214285714285714,140,1.0,11,0,0,0,0,0.0,129,0.9214285714285714,140000,1987,0.014192857142857142,0,0.23999899999999996,0.23999899999999996
SAC_seed2,off,140,123,0.8785714285714286,123,0.8785714285714286,0,17,0,28,28,0.2,112,0.8,,,,0,0.2500000000000001,0.2500000000000001
SAC_seed2,on,140,128,0.9142857142857143,140,1.0,12,0,0,0,0,0.0,128,0.9142857142857143,140000,845,0.006035714285714286,0,0.2399989999999999,0.2399989999999999
TQC_seed0,off,140,21,0.15,21,0.15,0,119,0,126,126,0.9,14,0.1,,,,0,0.25000000000000017,0.25000000000000017
TQC_seed0,on,140,127,0.9071428571428571,140,1.0,13,0,0,0,0,0.0,127,0.9071428571428571,140000,11960,0.08542857142857142,0,0.239999,0.239999
TQC_seed1,off,140,6,0.04285714285714286,7,0.05,1,133,0,134,134,0.9571428571428572,5,0.03571428571428571,,,,0,0.2500000000000007,0.2500000000000007
TQC_seed1,on,140,93,0.6642857142857143,140,1.0,47,0,0,0,0,0.0,93,0.6642857142857143,140000,24945,0.17817857142857144,0,0.239999,0.239999
TQC_seed2,off,140,74,0.5285714285714286,74,0.5285714285714286,0,66,0,70,70,0.5,70,0.5,,,,0,0.25000000000000083,0.25000000000000083
TQC_seed2,on,140,99,0.7071428571428572,140,1.0,41,0,0,0,0,0.0,99,0.7071428571428572,140000,20274,0.1448142857142857,0,0.239999,0.239999
classical,off,140,61,0.4357142857142857,61,0.4357142857142857,0,79,0,89,89,0.6357142857142857,51,0.36428571428571427,,,,0,0.25000000000000083,0.25000000000000083
classical,on,140,85,0.6071428571428571,140,1.0,55,0,0,0,0,0.0,85,0.6071428571428571,140000,53967,0.38547857142857145,0,0.239999,0.239999
