algorithm,seed,label,window,episodes,present_episodes,angle_pass_fraction,omega_pass_fraction,x_pass_fraction,v_pass_fraction,all_pass_fraction,final_angle_violations,final_omega_violations,final_x_violations,final_v_violations
DDPG,3,best,all,20,20,0.20404595404595405,0.2275224775224775,0.6305194805194805,0.4284715284715285,0.1329170829170829,13,13,4,10
DDPG,3,best,last2,20,20,0.4853233830845771,0.4982587064676617,0.686318407960199,0.5616915422885572,0.3156716417910448,13,13,4,10
DDPG,3,last,all,20,20,0.7901098901098902,0.7561438561438562,0.927972027972028,0.38981018981018983,0.3116883116883117,0,0,0,0
DDPG,3,last,last2,20,20,1.0,1.0,1.0,0.4788557213930348,0.4788557213930348,0,0,0,0
DDPG,4,best,all,20,20,0.18981018981018982,0.2051948051948052,0.8589410589410589,0.39265734265734265,0.1494005994005994,19,18,4,10
DDPG,4,best,last2,20,20,0.39477611940298507,0.3281094527363184,0.8651741293532338,0.5116915422885573,0.31592039800995025,19,18,4,10
DDPG,4,last,all,20,20,0.3246253746253746,0.13016983016983016,0.7406593406593407,0.4234265734265734,0.029420579420579417,14,18,3,15
DDPG,4,last,last2,20,20,0.4718905472636816,0.10298507462686568,0.7246268656716418,0.4057213930348259,0.0,14,18,3,15
DDPG,5,best,all,20,20,0.8267732267732267,0.8237262737262737,0.9718281718281718,0.8553946053946054,0.791058941058941,0,0,0,0
DDPG,5,best,last2,20,20,1.0,1.0,1.0,1.0,1.0,0,0,0,0
DDPG,5,last,all,20,20,0.7741758241758242,0.7802697302697303,0.9087912087912088,0.478971028971029,0.34585414585414587,0,0,0,19
DDPG,5,last,last2,20,20,1.0,1.0,1.0,0.5980099502487561,0.5980099502487561,0,0,0,19
SAC,3,best,all,20,20,0.07097902097902098,0.015284715284715287,1.0,0.7683816183816183,0.004695304695304695,20,20,0,0
SAC,3,best,last2,20,20,0.057462686567164176,0.0,1.0,1.0,0.0,20,20,0,0
SAC,3,last,all,20,20,0.0,0.07932067932067932,1.0,0.42022977022977026,0.0,20,20,0,0
SAC,3,last,last2,20,20,0.0,0.07686567164179105,1.0,0.4243781094527363,0.0,20,20,0,0
SAC,4,best,all,20,20,0.39465534465534463,0.33576423576423575,1.0,0.747052947052947,0.31523476523476524,19,20,0,5
SAC,4,best,last2,20,20,0.6786069651741293,0.5465174129353234,1.0,0.8604477611940299,0.5465174129353234,19,20,0,5
SAC,4,last,all,20,20,0.11828171828171827,0.10654345654345654,1.0,0.6033466533466534,0.06743256743256744,20,20,0,6
SAC,4,last,last2,20,20,0.22786069651741295,0.1654228855721393,1.0,0.7109452736318408,0.13233830845771144,20,20,0,6
SAC,5,best,all,20,20,0.31008991008991005,0.2363636363636364,0.9624875124875125,0.5794705294705295,0.152997002997003,18,20,1,1
SAC,5,best,last2,20,20,0.6634328358208955,0.5875621890547265,0.9191542288557214,0.8069651741293532,0.5875621890547265,18,20,1,1
SAC,5,last,all,20,20,0.15974025974025974,0.08511488511488512,1.0,0.4962537462537463,0.0,20,20,0,1
SAC,5,last,last2,20,20,0.15398009950248756,0.0,1.0,0.646268656716418,0.0,20,20,0,1
