stage,algorithm,seed,training_filter,run_id,transitions,updates,generation,successes,mean_hold_final,mean_hold_longest,mean_return,named_successes,subset,top_reached_count,hold_2s_count,boundary_episodes,intervention_fraction,mean_duration,mean_requested_near_saturation_fraction,mean_requested_applied_abs_mean
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,0,0,t000000000_u000000000_95c2d40643,0,0.0,0.0,4.729140737383552,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,10000,5000,t000010000_u000005000_2febba9487,0,0.0,0.0,48.30397985313378,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,20000,15000,t000020000_u000015000_d2c200b2cd,0,0.0,0.0,66.07371517167788,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,30000,25000,t000030000_u000025000_8a4d74909f,0,0.0,0.0,82.30185499136522,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,40000,35000,t000040000_u000035000_ad46f601e3,0,0.0,0.0,103.21101922036584,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,50000,45000,t000050000_u000045000_955bee3f3e,0,0.0,0.0,79.02094018459613,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,60000,55000,t000060000_u000055000_4688c0890d,0,0.0,0.0,25.899680999543,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,70000,65000,t000070000_u000065000_ad585386aa,0,0.0,0.0,0.29835496588360516,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,80000,75000,t000080000_u000075000_f8b35ac9de,0,0.0,0.0,26.180693006785155,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,90000,85000,t000090000_u000085000_900f22dbaf,0,0.0,0.0,35.325653050946336,0,validation,,,,,,,
stage1,DDPG,0,on,train_ddpg_on_warmup5000_seed0,100000,95000,t000100000_u000095000_cf9eec7493,0,0.0,0.0,98.67903361480985,0,validation,,,,,,,
stage1,DDPG,1,on,train_ddpg_on_warmup5000_seed1,0,0,t000000000_u000000000_2b5d1fcb11,0,0.0,0.0,1.6067710518889775,0,validation,,,,,,,
stage1,DDPG,1,on,train_ddpg_on_warmup5000_seed1,10000,5000,t000010000_u000005000_52eacdd518,0,0.0,0.0,37.15674359499472,0,validation,,,,,,,
