variant,algorithm,stage,seed,evaluation_filter,best_transitions,best_successes,last_successes,best_hold_final,last_hold_final,best_hold_longest,last_hold_longest,best_return,last_return,best_named_successes,last_named_successes,best_top_episodes,last_top_episodes,best_boundary_episodes,last_boundary_episodes,best_filter_fraction,last_filter_fraction
ddpg_on_warmup5000,DDPG,stage1,0,on,100000,0,0,0.0,0.0,0.0,0.0,98.67903361480985,98.67903361480985,0,0,20,20,0,0,0.3761,0.3761
ddpg_on_warmup5000,DDPG,stage1,1,on,90000,20,0,7.164,0.0,7.164,0.0,658.4153982325412,179.442416129253,3,0,20,20,0,0,0.018,0.1271
ddpg_on_warmup5000,DDPG,stage1,2,on,100000,20,20,6.9510000000000005,6.9510000000000005,6.9510000000000005,6.9510000000000005,742.2235589071103,742.2235589071103,3,3,20,20,0,0,0.04035,0.04035
ddpg_on_warmup5000,DDPG,confirmation,3,on,90000,4,0,0.8895,0.33249999999999985,1.1905,0.5195000000000002,273.6816135092021,706.0465536492355,0,0,16,20,0,0,0.1959,0.0308
ddpg_on_warmup5000,DDPG,confirmation,4,on,70000,0,0,0.06699999999999999,0.0,0.6250000000000004,0.275,319.48503607229907,303.3468629719551,0,0,20,20,0,0,0.1285,0.16
ddpg_on_warmup5000,DDPG,confirmation,5,on,90000,20,0,7.891500000000001,0.01150000000000002,7.891500000000001,1.154,752.568819705203,665.452665557242,3,0,20,20,0,0,0.01805,0.0204
sac_off_warmup5000,SAC,stage1,0,off,90000,20,17,6.034,5.485,6.034,5.485,739.7261697956995,594.9875800907262,3,2,20,20,0,3,,
sac_off_warmup5000,SAC,stage1,1,off,90000,0,0,0.0,0.0,0.275,0.044499999999999984,105.86835783597303,135.93451920804836,0,0,20,20,0,11,,
sac_off_warmup5000,SAC,stage1,2,off,60000,0,0,0.0,0.0,0.06950000000000003,0.0,89.5534671660221,168.78588440022128,0,0,20,0,0,0,,
sac_off_warmup5000,SAC,confirmation,3,off,30000,0,0,0.0,0.0,0.045000000000000005,0.0,44.49652683119996,208.2389794675114,0,0,20,0,0,0,,
sac_off_warmup5000,SAC,confirmation,4,off,90000,0,0,0.0,0.0,1.0945000000000003,0.26250000000000007,456.40390466979454,266.7492715038357,0,0,20,20,0,0,,
sac_off_warmup5000,SAC,confirmation,5,off,80000,0,0,0.0,0.0,1.1785,0.0,362.1368536234827,195.56235741970278,0,0,20,20,0,0,,
