run_id,algorithm,seed,training_filter,queue_accepted,attempts,status,stop_reason,transitions,updates,buffer_size,seconds,started_at_epoch,ended_at_epoch,measured_validations,reused_reports,retained_checkpoints,best_transitions,best_score,best_validated,peak_rss_mib,full_cycle_transitions_s,timing,source
train_SAC_on_seed0,SAC,0,on,True,1,completed,transition_limit,100000,99872,100000,512.7417062427849,1789487516.1358595,1789488028.8775795,11,1,6,70000,"[1.0, 6.636, 6.636, -3.364, 70000]",True,850.4140625,195.02997080687967,"{""collection"": 112.44397137407213, ""evaluation"": 100.6778942765668, ""initialization"": 0.9857394630089402, ""saving"": 1.9504406647756696, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 283.7328961668536, ""training_host_segment"": 283.7328961668536, ""warmup_finished_cumulative"": 11.492230740375817}",main-session/queue/jobs/train_SAC_on_seed0/run/summary.json
train_SAC_on_seed1,SAC,1,on,True,1,completed,transition_limit,100000,99872,100000,516.1710500884801,1789487516.1523318,1789488032.323402,11,1,6,50000,"[1.0, 7.4235, 7.4235, -2.5765000000000002, 50000]",True,850.36328125,193.73422818435552,"{""collection"": 113.97813145909458, ""evaluation"": 103.78158564399928, ""initialization"": 1.0073121190071106, ""saving"": 1.962283680215478, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 282.6418340234086, ""training_host_segment"": 282.6418340234086, ""warmup_finished_cumulative"": 11.452410942874849}",main-session/queue/jobs/train_SAC_on_seed1/run/summary.json
train_SAC_on_seed2,SAC,2,on,True,1,completed,transition_limit,100000,99872,100000,518.2330975234509,1789487516.1633418,1789488034.3964534,11,1,6,80000,"[1.0, 6.383, 6.383, -3.617, 80000]",True,861.5,192.96336046054034,"{""collection"": 112.54348132293671, ""evaluation"": 103.02529971115291, ""initialization"": 1.0030254069715738, ""saving"": 1.8798321709036827, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 287.02352233882993, ""training_host_segment"": 287.02352233882993, ""warmup_finished_cumulative"": 11.644955322146416}",main-session/queue/jobs/train_SAC_on_seed2/run/summary.json
train_TQC_on_seed0,TQC,0,on,True,1,completed,transition_limit,100000,99872,100000,736.5498813334852,1789487516.1598797,1789488252.7097704,11,1,6,80000,"[1.0, 6.8, 6.8, -3.2, 80000]",True,860.7734375,135.7681299451915,"{""collection"": 114.67473104596138, ""evaluation"": 99.25283295381814, ""initialization"": 1.003554780036211, ""saving"": 1.740484008565545, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 506.7670715339482, ""training_host_segment"": 506.7670715339482, ""warmup_finished_cumulative"": 11.148228181526065}",main-session/queue/jobs/train_TQC_on_seed0/run/summary.json
train_TQC_on_seed1,TQC,1,on,True,1,completed,transition_limit,100000,99872,100000,735.1595030641183,1789488033.173206,1789488768.3327188,11,1,6,40000,"[1.0, 7.876, 7.876, -2.1239999999999997, 40000]",True,858.703125,136.02490287237478,"{""collection"": 114.49848171509802, ""evaluation"": 98.33490226976573, ""initialization"": 1.0323306359350681, ""saving"": 1.7668672390282154, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 506.63145134970546, ""training_host_segment"": 506.63145134970546, ""warmup_finished_cumulative"": 11.122589532285929}",main-session/queue/jobs/train_TQC_on_seed1/run/summary.json
train_TQC_on_seed2,TQC,2,on,True,1,completed,transition_limit,100000,99872,100000,693.2925751032308,1789488036.6695426,1789488729.9621298,11,1,6,70000,"[1.0, 7.6049999999999995, 7.6049999999999995, -2.395, 70000]",True,860.59765625,144.2392484660752,"{""collection"": 114.7100784694776, ""evaluation"": 100.37233541626483, ""initialization"": 1.0028281630948186, ""saving"": 1.6279801400378346, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 462.6036255741492, ""training_host_segment"": 462.6036255741492, ""warmup_finished_cumulative"": 10.715173473581672}",main-session/queue/jobs/train_TQC_on_seed2/run/summary.json
train_DDPG_on_seed0,DDPG,0,on,True,1,completed,transition_limit,100000,99872,100000,385.2130896067247,1789488039.0034785,1789488424.2165833,11,1,6,90000,"[1.0, 7.0155, 7.0155, -2.9844999999999997, 90000]",True,855.97265625,259.5965783563921,"{""collection"": 108.87132406234741, ""evaluation"": 98.22464436199516, ""initialization"": 1.219318370334804, ""saving"": 1.6418009586632252, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 164.04293255321681, ""training_host_segment"": 164.04293255321681, ""warmup_finished_cumulative"": 10.428810275159776}",main-session/queue/jobs/train_DDPG_on_seed0/run/summary.json
train_DDPG_on_seed1,DDPG,1,on,True,1,completed,transition_limit,100000,99872,100000,387.51438973192126,1789488256.730897,1789488644.2452965,11,1,5,100000,"[0.0, 0.0, 0.0, -11.0, 100000]",True,856.01953125,258.05493331274494,"{""collection"": 109.85476851742715, ""evaluation"": 98.81012244243175, ""initialization"": 1.037996081635356, ""saving"": 1.6097805574536324, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 164.88750886172056, ""training_host_segment"": 164.88750886172056, ""warmup_finished_cumulative"": 9.812379932962358}",main-session/queue/jobs/train_DDPG_on_seed1/run/summary.json
train_DDPG_on_seed2,DDPG,2,on,True,1,completed,transition_limit,100000,99872,100000,391.038216650486,1789488428.2660823,1789488819.3043091,11,1,5,100000,"[0.0, 0.0, 0.0, -11.0, 100000]",True,855.875,255.72948050083053,"{""collection"": 111.33341558277607, ""evaluation"": 100.32436650432646, ""initialization"": 0.9995203940197825, ""saving"": 1.667669746093452, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 165.67983667273074, ""training_host_segment"": 165.67983667273074, ""warmup_finished_cumulative"": 10.40679479856044}",main-session/queue/jobs/train_DDPG_on_seed2/run/summary.json
train_DQN_on_seed0,DQN,0,on,True,1,completed,transition_limit,100000,99872,100000,290.1362192071974,1789488648.5228975,1789488938.6591296,11,1,6,80000,"[1.0, 6.8815, 6.8815, -3.1185, 80000]",True,856.48828125,344.66568935533746,"{""collection"": 95.04633792303503, ""evaluation"": 93.88249804265797, ""initialization"": 1.0187647929415107, ""saving"": 1.5813770908862352, ""training_cuda_event_cumulative"": 0.0, ""training_cuda_segment"": 0.0, ""training_host_cumulative"": 90.27402326371521, ""training_host_segment"": 90.27402326371521, ""warmup_finished_cumulative"": 10.230837338604033}",main-session/queue/jobs/train_DQN_on_seed0/run/summary.json
