group,filter,episodes,successes,success_rate,horizons,horizon_rate,horizon_hold_failures,position_limit,velocity_limit,strict_exceedances,resolved_exceedances,resolved_exceedance_rate,successes_without_resolved_exceedance,safe_success_rate,filter_decisions,interventions,intervention_rate,refusals,legacy_max_abs_position_interval_m,safety_max_abs_position_interval_m
nominal,off,140,69,0.4928571428571429,69,0.4928571428571429,0,71,0,77,77,0.55,63,0.45,,,,0,0.2500000000000002,0.2500000000000002
nominal,on,140,139,0.9928571428571429,140,1.0,1,0,0,0,0,0.0,139,0.9928571428571429,140000,2713,0.01937857142857143,0,0.239999,0.239999
position,off,140,63,0.45,63,0.45,0,77,0,80,80,0.5714285714285714,60,0.42857142857142855,,,,0,0.2500000000000003,0.2500000000000003
position,on,140,122,0.8714285714285714,140,1.0,18,0,0,0,0,0.0,122,0.8714285714285714,140000,14008,0.10005714285714286,0,0.239999,0.239999
velocity,off,140,53,0.37857142857142856,53,0.37857142857142856,0,87,0,90,90,0.6428571428571429,50,0.35714285714285715,,,,0,0.25000000000000083,0.25000000000000083
velocity,on,140,109,0.7785714285714286,140,1.0,31,0,0,0,0,0.0,109,0.7785714285714286,140000,20191,0.14422142857142858,0,0.239999,0.239999
angle,off,140,73,0.5214285714285715,75,0.5357142857142857,2,65,0,73,73,0.5214285714285715,66,0.4714285714285714,,,,0,0.25000000000000083,0.25000000000000083
angle,on,140,102,0.7285714285714285,140,1.0,38,0,0,0,0,0.0,102,0.7285714285714285,140000,23860,0.17042857142857143,0,0.239999,0.239999
angular_velocity,off,140,68,0.4857142857142857,70,0.5,2,70,0,84,84,0.6,56,0.4,,,,0,0.25000000000000033,0.25000000000000033
angular_velocity,on,140,111,0.7928571428571428,140,1.0,29,0,0,0,0,0.0,111,0.7928571428571428,140000,14931,0.10665,0,0.239999,0.239999
boundary,off,140,48,0.34285714285714286,48,0.34285714285714286,0,92,0,101,101,0.7214285714285714,39,0.2785714285714286,,,,0,0.2500000000000003,0.2500000000000003
boundary,on,140,97,0.6928571428571428,140,1.0,43,0,0,0,0,0.0,97,0.6928571428571428,140000,25890,0.18492857142857144,0,0.239999,0.239999
joint,off,140,67,0.4785714285714286,68,0.4857142857142857,1,72,0,80,80,0.5714285714285714,60,0.42857142857142855,,,,0,0.2500000000000007,0.2500000000000007
joint,on,140,116,0.8285714285714286,140,1.0,24,0,0,0,0,0.0,116,0.8285714285714286,140000,13762,0.0983,0,0.239999,0.239999
