controller,group,filter,episodes,successes,success_rate,horizons,horizon_rate,horizon_hold_failures,position_limit,velocity_limit,strict_exceedances,resolved_exceedances,resolved_exceedance_rate,successes_without_resolved_exceedance,safe_success_rate,filter_decisions,interventions,intervention_rate,refusals,legacy_max_abs_position_interval_m,safety_max_abs_position_interval_m
SAC_seed0,nominal,off,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,,,,0,0.21378086338640678,0.21378086338640678
SAC_seed0,nominal,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,0,0.0,0,0.21378086338640678,0.21378086338640678
SAC_seed0,position,off,20,12,0.6,12,0.6,0,8,0,9,9,0.45,11,0.55,,,,0,0.2500000000000001,0.25000000000000017
SAC_seed0,position,on,20,19,0.95,20,1.0,1,0,0,0,0,0.0,19,0.95,20000,153,0.00765,0,0.23999899999999968,0.23999899999999968
SAC_seed0,velocity,off,20,10,0.5,10,0.5,0,10,0,11,11,0.55,9,0.45,,,,0,0.2500000000000003,0.2500000000000003
SAC_seed0,velocity,on,20,19,0.95,20,1.0,1,0,0,0,0,0.0,19,0.95,20000,239,0.01195,0,0.23999899999999966,0.23999899999999966
SAC_seed0,angle,off,20,13,0.65,13,0.65,0,7,0,8,8,0.4,12,0.6,,,,0,0.25000000000000017,0.25000000000000017
SAC_seed0,angle,on,20,18,0.9,20,1.0,2,0,0,0,0,0.0,18,0.9,20000,222,0.0111,0,0.23999899999999902,0.23999899999999902
SAC_seed0,angular_velocity,off,20,10,0.5,10,0.5,0,10,0,11,11,0.55,9,0.45,,,,0,0.25000000000000033,0.25000000000000033
SAC_seed0,angular_velocity,on,20,19,0.95,20,1.0,1,0,0,0,0,0.0,19,0.95,20000,184,0.0092,0,0.23999899999999957,0.23999899999999957
SAC_seed0,boundary,off,20,8,0.4,8,0.4,0,12,0,14,14,0.7,6,0.3,,,,0,0.2500000000000003,0.2500000000000003
SAC_seed0,boundary,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,341,0.01705,0,0.23999899999999985,0.23999899999999985
SAC_seed0,joint,off,20,12,0.6,12,0.6,0,8,0,9,9,0.45,11,0.55,,,,0,0.25000000000000044,0.25000000000000044
SAC_seed0,joint,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,238,0.0119,0,0.23999899999999777,0.23999899999999777
SAC_seed1,nominal,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.25000000000000006,0.25000000000000006
SAC_seed1,nominal,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,471,0.02355,0,0.23999899999999985,0.23999899999999988
SAC_seed1,position,off,20,9,0.45,9,0.45,0,11,0,12,12,0.6,8,0.4,,,,0,0.2500000000000001,0.2500000000000001
SAC_seed1,position,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,258,0.0129,0,0.2399989999999996,0.23999899999999957
SAC_seed1,velocity,off,20,8,0.4,8,0.4,0,12,0,13,13,0.65,7,0.35,,,,0,0.2500000000000001,0.2500000000000001
SAC_seed1,velocity,on,20,19,0.95,20,1.0,1,0,0,0,0,0.0,19,0.95,20000,379,0.01895,0,0.23999899999999694,0.23999899999999694
SAC_seed1,angle,off,20,16,0.8,17,0.85,1,3,0,6,6,0.3,14,0.7,,,,0,0.25,0.25
SAC_seed1,angle,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,176,0.0088,0,0.23999899999999932,0.23999899999999932
SAC_seed1,angular_velocity,off,20,14,0.7,16,0.8,2,4,0,7,7,0.35,13,0.65,,,,0,0.25000000000000017,0.25000000000000017
SAC_seed1,angular_velocity,on,20,17,0.85,20,1.0,3,0,0,0,0,0.0,17,0.85,20000,184,0.0092,0,0.23999899999999996,0.23999899999999996
SAC_seed1,boundary,off,20,10,0.5,10,0.5,0,10,0,10,10,0.5,10,0.5,,,,0,0.25000000000000006,0.25000000000000006
SAC_seed1,boundary,on,20,16,0.8,20,1.0,4,0,0,0,0,0.0,16,0.8,20000,278,0.0139,0,0.23999899999999916,0.23999899999999916
SAC_seed1,joint,off,20,14,0.7,15,0.75,1,5,0,8,8,0.4,12,0.6,,,,0,0.25000000000000006,0.25000000000000006
SAC_seed1,joint,on,20,17,0.85,20,1.0,3,0,0,0,0,0.0,17,0.85,20000,241,0.01205,0,0.23999899999999982,0.2399989999999998
SAC_seed2,nominal,off,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,,,,0,0.143080634900579,0.143080634900579
SAC_seed2,nominal,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,0,0.0,0,0.143080634900579,0.143080634900579
SAC_seed2,position,off,20,19,0.95,19,0.95,0,1,0,2,2,0.1,18,0.9,,,,0,0.25,0.25
SAC_seed2,position,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,13,0.00065,0,0.23999899999998228,0.2399989999999823
SAC_seed2,velocity,off,20,17,0.85,17,0.85,0,3,0,3,3,0.15,17,0.85,,,,0,0.25,0.25
SAC_seed2,velocity,on,20,19,0.95,20,1.0,1,0,0,0,0,0.0,19,0.95,20000,96,0.0048,0,0.23999899999998064,0.23999899999998064
SAC_seed2,angle,off,20,15,0.75,15,0.75,0,5,0,5,5,0.25,15,0.75,,,,0,0.25000000000000006,0.2500000000000001
SAC_seed2,angle,on,20,17,0.85,20,1.0,3,0,0,0,0,0.0,17,0.85,20000,206,0.0103,0,0.23999899999998048,0.23999899999998048
SAC_seed2,angular_velocity,off,20,18,0.9,18,0.9,0,2,0,4,4,0.2,16,0.8,,,,0,0.24999999999999994,0.24999999999999997
SAC_seed2,angular_velocity,on,20,16,0.8,20,1.0,4,0,0,0,0,0.0,16,0.8,20000,209,0.01045,0,0.2399989999999991,0.2399989999999991
SAC_seed2,boundary,off,20,17,0.85,17,0.85,0,3,0,10,10,0.5,10,0.5,,,,0,0.25,0.25
SAC_seed2,boundary,on,20,18,0.9,20,1.0,2,0,0,0,0,0.0,18,0.9,20000,185,0.00925,0,0.239998999999999,0.239998999999999
SAC_seed2,joint,off,20,17,0.85,17,0.85,0,3,0,4,4,0.2,16,0.8,,,,0,0.2500000000000001,0.2500000000000001
SAC_seed2,joint,on,20,18,0.9,20,1.0,2,0,0,0,0,0.0,18,0.9,20000,136,0.0068,0,0.2399989999999999,0.2399989999999999
TQC_seed0,nominal,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.25000000000000017,0.25000000000000017
TQC_seed0,nominal,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,903,0.04515,0,0.239999,0.239999
TQC_seed0,position,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.2500000000000001,0.2500000000000001
TQC_seed0,position,on,20,18,0.9,20,1.0,2,0,0,0,0,0.0,18,0.9,20000,2385,0.11925,0,0.239999,0.239999
TQC_seed0,velocity,off,20,1,0.05,1,0.05,0,19,0,20,20,1.0,0,0.0,,,,0,0.25000000000000006,0.25000000000000006
TQC_seed0,velocity,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,839,0.04195,0,0.239999,0.239999
TQC_seed0,angle,off,20,7,0.35,7,0.35,0,13,0,14,14,0.7,6,0.3,,,,0,0.2500000000000001,0.2500000000000001
TQC_seed0,angle,on,20,18,0.9,20,1.0,2,0,0,0,0,0.0,18,0.9,20000,709,0.03545,0,0.239999,0.239999
TQC_seed0,angular_velocity,off,20,9,0.45,9,0.45,0,11,0,15,15,0.75,5,0.25,,,,0,0.25000000000000006,0.25000000000000006
TQC_seed0,angular_velocity,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,460,0.023,0,0.239999,0.239999
TQC_seed0,boundary,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.2500000000000001,0.2500000000000001
TQC_seed0,boundary,on,20,13,0.65,20,1.0,7,0,0,0,0,0.0,13,0.65,20000,5892,0.2946,0,0.239999,0.239999
TQC_seed0,joint,off,20,4,0.2,4,0.2,0,16,0,17,17,0.85,3,0.15,,,,0,0.25000000000000017,0.25000000000000017
TQC_seed0,joint,on,20,18,0.9,20,1.0,2,0,0,0,0,0.0,18,0.9,20000,772,0.0386,0,0.2399989999999999,0.2399989999999999
TQC_seed1,nominal,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.2500000000000002,0.2500000000000002
TQC_seed1,nominal,on,20,19,0.95,20,1.0,1,0,0,0,0,0.0,19,0.95,20000,867,0.04335,0,0.239999,0.23999899999999996
TQC_seed1,position,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.2500000000000003,0.2500000000000003
TQC_seed1,position,on,20,15,0.75,20,1.0,5,0,0,0,0,0.0,15,0.75,20000,3077,0.15385,0,0.239999,0.239999
TQC_seed1,velocity,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.2500000000000002,0.2500000000000002
TQC_seed1,velocity,on,20,12,0.6,20,1.0,8,0,0,0,0,0.0,12,0.6,20000,3836,0.1918,0,0.239999,0.239999
TQC_seed1,angle,off,20,5,0.25,6,0.3,1,14,0,15,15,0.75,4,0.2,,,,0,0.2500000000000002,0.2500000000000002
TQC_seed1,angle,on,20,10,0.5,20,1.0,10,0,0,0,0,0.0,10,0.5,20000,5145,0.25725,0,0.239999,0.239999
TQC_seed1,angular_velocity,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.2500000000000002,0.2500000000000002
TQC_seed1,angular_velocity,on,20,12,0.6,20,1.0,8,0,0,0,0,0.0,12,0.6,20000,4366,0.2183,0,0.239999,0.239999
TQC_seed1,boundary,off,20,0,0.0,0,0.0,0,20,0,20,20,1.0,0,0.0,,,,0,0.2500000000000003,0.2500000000000003
TQC_seed1,boundary,on,20,10,0.5,20,1.0,10,0,0,0,0,0.0,10,0.5,20000,4687,0.23435,0,0.239999,0.239999
TQC_seed1,joint,off,20,1,0.05,1,0.05,0,19,0,19,19,0.95,1,0.05,,,,0,0.2500000000000007,0.2500000000000007
TQC_seed1,joint,on,20,15,0.75,20,1.0,5,0,0,0,0,0.0,15,0.75,20000,2967,0.14835,0,0.239999,0.239999
TQC_seed2,nominal,off,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,,,,0,0.21262336041272833,0.2126233604127283
TQC_seed2,nominal,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,0,0.0,0,0.21262336041272833,0.2126233604127283
TQC_seed2,position,off,20,13,0.65,13,0.65,0,7,0,7,7,0.35,13,0.65,,,,0,0.25000000000000017,0.25000000000000017
TQC_seed2,position,on,20,17,0.85,20,1.0,3,0,0,0,0,0.0,17,0.85,20000,1441,0.07205,0,0.239999,0.239999
TQC_seed2,velocity,off,20,9,0.45,9,0.45,0,11,0,11,11,0.55,9,0.45,,,,0,0.25000000000000083,0.25000000000000083
TQC_seed2,velocity,on,20,11,0.55,20,1.0,9,0,0,0,0,0.0,11,0.55,20000,4215,0.21075,0,0.239999,0.239999
TQC_seed2,angle,off,20,12,0.6,12,0.6,0,8,0,9,9,0.45,11,0.55,,,,0,0.2500000000000003,0.2500000000000003
TQC_seed2,angle,on,20,13,0.65,20,1.0,7,0,0,0,0,0.0,13,0.65,20000,3760,0.188,0,0.239999,0.239999
TQC_seed2,angular_velocity,off,20,7,0.35,7,0.35,0,13,0,16,16,0.8,4,0.2,,,,0,0.25000000000000006,0.2500000000000001
TQC_seed2,angular_velocity,on,20,13,0.65,20,1.0,7,0,0,0,0,0.0,13,0.65,20000,3553,0.17765,0,0.239999,0.239999
TQC_seed2,boundary,off,20,3,0.15,3,0.15,0,17,0,17,17,0.85,3,0.15,,,,0,0.25000000000000017,0.25000000000000017
TQC_seed2,boundary,on,20,10,0.5,20,1.0,10,0,0,0,0,0.0,10,0.5,20000,4857,0.24285,0,0.239999,0.239999
TQC_seed2,joint,off,20,10,0.5,10,0.5,0,10,0,10,10,0.5,10,0.5,,,,0,0.25000000000000067,0.25000000000000067
TQC_seed2,joint,on,20,15,0.75,20,1.0,5,0,0,0,0,0.0,15,0.75,20000,2448,0.1224,0,0.239999,0.239999
classical,nominal,off,20,9,0.45,9,0.45,0,11,0,17,17,0.85,3,0.15,,,,0,0.25,0.25
classical,nominal,on,20,20,1.0,20,1.0,0,0,0,0,0,0.0,20,1.0,20000,472,0.0236,0,0.23999899999999996,0.239999
classical,position,off,20,10,0.5,10,0.5,0,10,0,10,10,0.5,10,0.5,,,,0,0.25,0.25
classical,position,on,20,13,0.65,20,1.0,7,0,0,0,0,0.0,13,0.65,20000,6681,0.33405,0,0.23999899999999996,0.239999
classical,velocity,off,20,8,0.4,8,0.4,0,12,0,12,12,0.6,8,0.4,,,,0,0.25000000000000006,0.25000000000000006
classical,velocity,on,20,9,0.45,20,1.0,11,0,0,0,0,0.0,9,0.45,20000,10587,0.52935,0,0.23999899999999993,0.23999899999999993
classical,angle,off,20,5,0.25,5,0.25,0,15,0,16,16,0.8,4,0.2,,,,0,0.25000000000000083,0.25000000000000083
classical,angle,on,20,6,0.3,20,1.0,14,0,0,0,0,0.0,6,0.3,20000,13642,0.6821,0,0.239999,0.239999
classical,angular_velocity,off,20,10,0.5,10,0.5,0,10,0,11,11,0.55,9,0.45,,,,0,0.25,0.25
classical,angular_velocity,on,20,14,0.7,20,1.0,6,0,0,0,0,0.0,14,0.7,20000,5975,0.29875,0,0.23999899999999982,0.23999899999999982
classical,boundary,off,20,10,0.5,10,0.5,0,10,0,10,10,0.5,10,0.5,,,,0,0.25000000000000006,0.25000000000000006
classical,boundary,on,20,10,0.5,20,1.0,10,0,0,0,0,0.0,10,0.5,20000,9650,0.4825,0,0.2399989999999998,0.2399989999999998
classical,joint,off,20,9,0.45,9,0.45,0,11,0,13,13,0.65,7,0.35,,,,0,0.2500000000000001,0.2500000000000001
