run_id,algorithm,seed,training_filter,checkpoint_label,generation,transitions,updates,model_sha256,policy_sha256,checkpoint_manifest_sha256,selection_report_sha256,best_rule_verified,checkpoint_source,report_source
train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,best,t000090000_u000085000_bfae487e01,90000,85000,108fa89d1e15dfe25ace27608a4551250c04842257e0873cea087b4b38069aa5,90ed9e811380c50eb8a2aa06c88025441ed9dc87335d1cbf2a4b1ff635876bbe,09e5d65db0773ad74a7e1bf58af8c6e40144318cde36dcf017235c39aaebbc06,792116fd4f849a74394a4b22125bd570be86f4db6f8ccfcb941e398f74a08b50,True,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/checkpoints/t000090000_u000085000_bfae487e01,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/best_evaluation.json
train_confirm_ddpg_on_warmup5000_seed3,DDPG,3,on,last,t000100000_u000095000_e271647864,100000,95000,07e2cebf3c5986cd9459b6f92aa5db6cee2e339527aaa4001b9be812c5416bea,1fe5e036961ee9cfcfd85757a5cfb3f379ed7e40ba09fe3270808e9b9aa06a18,befaf5cf4e462f1805b24e359b77fc048060431a4f02602719cb3581e4e3cd0d,0dc059e7945d6ebcb24467e0076e77f2a0db3cd25ed67cbe3d0f450d85b96fd8,False,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/checkpoints/t000100000_u000095000_e271647864,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed3/run/last_evaluation.json
train_confirm_ddpg_on_warmup5000_seed4,DDPG,4,on,best,t000070000_u000065000_2d60c913dc,70000,65000,102637f6f6a5557d1326bf10846bbb3a3e07294a8cf63f753bc79ee3e6447064,c3ed5fafe10732cb8f414c0049b8fba61869cdcf34a273569632bf5f3f9fde70,2dcda9eb0060d881e7cc26b36c2cfb6558f2b8b5423c1f87e555d5001f39c650,e9480bf6967d3e8e6d736a2aeb3b93f73a1af02d7cc311ae6e35a98c7735b540,True,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed4/run/checkpoints/t000070000_u000065000_2d60c913dc,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed4/run/best_evaluation.json
train_confirm_ddpg_on_warmup5000_seed4,DDPG,4,on,last,t000100000_u000095000_b6342ff3f7,100000,95000,72368ca5cdf4084cd00d63122f00860b0f3a55fba9376b4ed7417f76bb2c7e00,c1a9a80481d9a5de64129624a0bc09fdbb61361fadda342786e4222469b8029d,4fa50b7b5a0b9f8d93139d6a11dd8dd40c7d4d745558d6cb80080a19afb7b637,060789777c82b624662d77e06089cbbe36796a0e1247e9c2fb248072e618a4c8,False,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed4/run/checkpoints/t000100000_u000095000_b6342ff3f7,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed4/run/last_evaluation.json
train_confirm_ddpg_on_warmup5000_seed5,DDPG,5,on,best,t000090000_u000085000_181ce2ec08,90000,85000,7a237631c8e9b6dbfcf89437ced3eaab5354477aba80f748f866947e1922b842,8e3ee89b8504ece8c05f72e5e875dc636545d013d19c8336b924c6e438ef4191,e1d7e5a4b47123a0c4759867d9a3229ccc30c9e12731f5e8a8f5065853cffc42,88d0fa21f40262dbd1bbca602ba5ad4cb1bac983bc8b6fb89cc5ec57f5520a77,True,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed5/run/checkpoints/t000090000_u000085000_181ce2ec08,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed5/run/best_evaluation.json
train_confirm_ddpg_on_warmup5000_seed5,DDPG,5,on,last,t000100000_u000095000_0eb2389d05,100000,95000,9eaca84c67911ca9d6167eb85586aac9408f7967c53657f43b0f871fbf101acd,dbd110a53407d66a065eb27866e2dc1ef4bf62b34c66484c3c196f9ffa652512,ff4ead3cdb93092b94fa4fc4d405c96fb58e52511b2151c3d015321b0a5318cf,792a4d86ef96151eb111eaeec6a5d0a3361a90ed73dea4e1cb0e643cae2a5c04,False,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed5/run/checkpoints/t000100000_u000095000_0eb2389d05,main-session/queue/jobs/train_confirm_ddpg_on_warmup5000_seed5/run/last_evaluation.json
train_confirm_sac_off_warmup5000_seed3,SAC,3,off,best,t000030000_u000025000_7449862c44,30000,25000,fdde67148b04ea6eca021a4514d6bed336e6a07100e9fbea6d2294951bdb9443,b8fb3f6f698d8ae937ec65fed94dcd7997a19b4cb2420783f9ae00502d74e0cb,c5b4d35d0706a03c0c2cd6d9ef88771c0c08697059dc418091355a7a67ed5be0,b729c5ed7d46198df451552881cf7eb04a8bbe214cb8a3e0ca0fa4ed1c307764,True,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed3/run/checkpoints/t000030000_u000025000_7449862c44,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed3/run/best_evaluation.json
train_confirm_sac_off_warmup5000_seed3,SAC,3,off,last,t000100000_u000095000_55fd0a5012,100000,95000,c87218237bf35ff83dd86150206e8449d9cbdf55cd3fce862a40fb83441fb932,f7da141695e5bcd1ad8b9daf0082292dd6f98aecbdea328384ef12615d8d84a2,f62016a2f51504b58c0254cd1c7371ddb79cc3171c517634b4e00ae804fa6bcb,b30ac0493ca95995b06dff39f3324bf9a7132270eb7c453848783e47df021437,False,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed3/run/checkpoints/t000100000_u000095000_55fd0a5012,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed3/run/last_evaluation.json
train_confirm_sac_off_warmup5000_seed4,SAC,4,off,best,t000090000_u000085000_07386e3494,90000,85000,b4e659807bdf8f5637e915794004707526fb11a11fc4edbd78563c26c3bc3d4c,d7e03b6bfe9842812bbd378c93653dffcf8118a46dc18ddc4d406a1e9cebbd8c,36d4eab09580999b7004e213ddcd0329929c3a9e89ee99288c460e714f8eb037,70b42d0c05cb069c60e6870b839c012d7ff7b1f7bf9c2f51bfbcc2bd17dcbb73,True,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed4/run/checkpoints/t000090000_u000085000_07386e3494,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed4/run/best_evaluation.json
train_confirm_sac_off_warmup5000_seed4,SAC,4,off,last,t000100000_u000095000_3a44d90a59,100000,95000,d505271a247f29274ffdbcfa423c85e8727ce4e395384038611c8efdab1265b4,7af53745369c4b1cd70c1ef5e01ab218789b171cb5af9896a8fceaf12eaa6678,1cbca7bb7e527455de8fbf759647cbf7f9b3019ebf2fc54d2858a1232922709e,cc8aab9404cfed8624fdfd0e389002d9700796501e41bc47b4304ef4070886cd,False,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed4/run/checkpoints/t000100000_u000095000_3a44d90a59,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed4/run/last_evaluation.json
train_confirm_sac_off_warmup5000_seed5,SAC,5,off,best,t000080000_u000075000_5584b5595c,80000,75000,0585207abea2a7fbf7584da789b8ad40a12090c373e46a6b33802fbca4d6d522,9e26a6d44b501b6de518ca7a46dd64cfff1daaed60886a2a4b3fda6915512807,2ca7538de78245eb5e864d641efd998fe3f77b543b4c57b57b19e6e2d89a72d6,ebfbe7109ea708aeda54bbd7e48a148c9cabf228683308f5aeed98684fa78798,True,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed5/run/checkpoints/t000080000_u000075000_5584b5595c,main-session/queue/jobs/train_confirm_sac_off_warmup5000_seed5/run/best_evaluation.json
