category,run_id,algorithm,seed,training_filter,checkpoint_label,checkpoint_transitions,evaluation_filter,subset,episodes,successes,mean_hold_final,mean_hold_longest,hold_2s_count,top_reached_count,mean_first_hold_start,mean_return,exceeds_024_episodes,exceeds_024_resolved_episodes,position_limit_events,refusals,interventions,accepted_decisions,intervention_fraction,intervention_abs_sum,intervention_abs_max,max_abs_position_interval,source,source_sha256,verification
periodic,train_SAC_on_seed0,SAC,0,on,t000000000_u000000000_fa4a5eba29,0,on,validation,20,0,0.0,0.0,0,0,,4.729140737383552,0,0,0,0,2752,20000,0.1376,7967.376528494829,4.445849366489311,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000000000_u000000000_fa4a5eba29/report.json,873d2b5a78ddd5829815fb7cc586e29de6ff38c408da92332124ef06a2e27d00,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000000000_u000000000_fa4a5eba29,0,on,named,3,0,0.0,0.0,0,0,,4.577068266969124,0,0,0,0,417,3000,0.139,1196.2344187771546,4.440163061982222,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000000000_u000000000_fa4a5eba29/report.json,873d2b5a78ddd5829815fb7cc586e29de6ff38c408da92332124ef06a2e27d00,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000000000_u000000000_fa4a5eba29,0,on,all,23,0,0.0,0.0,0,0,,4.709305197764279,0,0,0,0,3169,23000,0.13778260869565218,9163.610947271984,4.445849366489311,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000000000_u000000000_fa4a5eba29/report.json,873d2b5a78ddd5829815fb7cc586e29de6ff38c408da92332124ef06a2e27d00,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000010000_u000009872_319667630d,10000,on,validation,20,0,0.0,0.0,0,19,,89.38042855854663,0,0,0,0,5101,20000,0.25505,17274.377973715073,7.9645547863840775,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000010000_u000009872_319667630d/report.json,11bd0e86b3b4abc1c0bc607176eb0e22ac3095679310bad653995bbb8a6598c8,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000010000_u000009872_319667630d,10000,on,named,3,0,0.0,0.0,0,3,,99.64409764298,0,0,0,0,700,3000,0.23333333333333334,2411.8268077914345,7.950729608235674,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000010000_u000009872_319667630d/report.json,11bd0e86b3b4abc1c0bc607176eb0e22ac3095679310bad653995bbb8a6598c8,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000010000_u000009872_319667630d,10000,on,all,23,0,0.0,0.0,0,22,,90.71916800434228,0,0,0,0,5801,23000,0.25221739130434784,19686.204781506505,7.9645547863840775,0.239999,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000010000_u000009872_319667630d/report.json,11bd0e86b3b4abc1c0bc607176eb0e22ac3095679310bad653995bbb8a6598c8,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000020000_u000019872_987cccee7f,20000,on,validation,20,0,0.0,0.01399999999999999,0,20,,40.388515115872615,0,0,0,0,83,20000,0.00415,97.15331889643862,6.167023181475146,0.23999899999997537,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000020000_u000019872_987cccee7f/report.json,d282f5da9fa852326a0b9cbdbc0eabb6d0d976542ea86e87bc5e709726ca04d5,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000020000_u000019872_987cccee7f,20000,on,named,3,0,0.0,0.03333333333333336,0,3,,52.8492890852138,0,0,0,0,0,3000,0.0,0.0,0.0,0.17320444061757254,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000020000_u000019872_987cccee7f/report.json,d282f5da9fa852326a0b9cbdbc0eabb6d0d976542ea86e87bc5e709726ca04d5,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000020000_u000019872_987cccee7f,20000,on,all,23,0,0.0,0.016521739130434778,0,23,,42.013833459699725,0,0,0,0,83,23000,0.003608695652173913,97.15331889643862,6.167023181475146,0.23999899999997537,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000020000_u000019872_987cccee7f/report.json,d282f5da9fa852326a0b9cbdbc0eabb6d0d976542ea86e87bc5e709726ca04d5,raw_log_recomputed
periodic,train_SAC_on_seed0,SAC,0,on,t000030000_u000029872_2fb637ff2b,30000,on,validation,20,20,4.8549999999999995,4.8549999999999995,20,20,5.1450000000000005,570.4051155997935,0,0,0,0,402,20000,0.0201,342.40044210079117,6.13855838736095,0.23999899999999572,main-session/queue/jobs/train_SAC_on_seed0/run/parallel_evaluations/t000030000_u000029872_2fb637ff2b/report.json,9350528c198302b351cfc3e35675b85355e0cf0f05e8fa9cd30fcc1a1c46fece,raw_log_recomputed
