run_id,algorithm,seed,training_filter,checkpoint_label,generation,transitions,updates,model_sha256,policy_sha256,checkpoint_manifest_sha256,selection_report_sha256,best_rule_verified,checkpoint_source,report_source
train_SAC_on_seed0,SAC,0,on,best,t000070000_u000069872_a53f38b271,70000,69872,cee63f5257c4f1638e72a15876ccbba8c7865fc65eed741243497d820b045886,5ebe3de50f67dcffd978c863b369a1070352f3f6bd836c8d3a3d1d2deb1eced7,28e7927ea32e90bc5f6091a81446a4d001bff018beefa1e5b9bd96c700642268,e8010c3d5d9711562781c08e17ab06dc74118864b132dbe9a41162fb39220e52,True,main-session/queue/jobs/train_SAC_on_seed0/run/checkpoints/t000070000_u000069872_a53f38b271,main-session/queue/jobs/train_SAC_on_seed0/run/best_evaluation.json
train_SAC_on_seed0,SAC,0,on,last,t000100000_u000099872_04a924d11a,100000,99872,dcc12f652561c29df550939a339b9f71dfef7b8286a929ec9de640a210bb1208,4c391fb75679c9788e8dc1f6d5c1c83ed28a587814db7052f61146483e8d21e9,3ccc3c55784e7158e3352c7e196aee9b252fa16b25812a411de9284f5fe3b8fa,6cdb31ff5d442f14f0c4936e6225240ba7c4f35fb4a093f53d79657349bffda8,False,main-session/queue/jobs/train_SAC_on_seed0/run/checkpoints/t000100000_u000099872_04a924d11a,main-session/queue/jobs/train_SAC_on_seed0/run/last_evaluation.json
train_SAC_on_seed1,SAC,1,on,best,t000050000_u000049872_d5c0b83867,50000,49872,2e2e9946e948f0c651c6f71cbbe3c822888061dc4d2b6ca64b94b48cad160bed,219361852cb61aeb0cd40d08931ebef21f9cd68ef0b9885b9037173ff0ca4aca,b923b855d946f91fbeb9ca1f187b67d02434f82ec60621af4dabe4c592b67e9a,991fc9a705f4917f2b14bc5aad4451ffc73553ae184db5381ba6928cb0476d61,True,main-session/queue/jobs/train_SAC_on_seed1/run/checkpoints/t000050000_u000049872_d5c0b83867,main-session/queue/jobs/train_SAC_on_seed1/run/best_evaluation.json
train_SAC_on_seed1,SAC,1,on,last,t000100000_u000099872_e8786ee35f,100000,99872,0f13d6ec87848b9c805248e7aa8669b019e5e867df419fd3b8041efd8d5d19b2,68d5c50e3b1d33eca378efdb93cfa4cce7f7299b22fefd5415593db5dee063b2,9d4d7d719fd0abfcb6f81fb863354cb23d7200dd7f5c966ba6d6baf4584c1855,1683c645654cc2547ec567e302739f73febaf3dd6d96ac044659f1ece1cfcd2d,False,main-session/queue/jobs/train_SAC_on_seed1/run/checkpoints/t000100000_u000099872_e8786ee35f,main-session/queue/jobs/train_SAC_on_seed1/run/last_evaluation.json
train_SAC_on_seed2,SAC,2,on,best,t000080000_u000079872_c58e42b3bf,80000,79872,e175bb7de298b1b703329010c1a0dc2228732c9bdcd4314b4bce021dd4d665fc,a1d8a6d65d8251a34ac136ac887d9c5cff1fdb4147869ac4ab33978da178f4f3,2f91097736d66d5b4a487ce1183c2aa1ddd9f5577039bdc4c8d7c6df3108608e,8fd7961002be120a9b517306c2167725ff90bdaa54368b125daceafa8712eb14,True,main-session/queue/jobs/train_SAC_on_seed2/run/checkpoints/t000080000_u000079872_c58e42b3bf,main-session/queue/jobs/train_SAC_on_seed2/run/best_evaluation.json
train_SAC_on_seed2,SAC,2,on,last,t000100000_u000099872_b1587a7b42,100000,99872,c5444faa1fa5501205cbeeb2c7b7208dbad83ccb1ae1c5158b5f1a97771ca733,7bd7dae04d28b2d420181fa5648048e921184336df5e5e307d649f9b51d894b4,dff7165903a031a93c578b93f34a16e72069e54e95df35492b6ed94f2d55c0e3,4562bb1c57d44fa2f0d645535c739b120708b0e0c818c91fc67f1d306cbd7e5b,False,main-session/queue/jobs/train_SAC_on_seed2/run/checkpoints/t000100000_u000099872_b1587a7b42,main-session/queue/jobs/train_SAC_on_seed2/run/last_evaluation.json
train_TQC_on_seed0,TQC,0,on,best,t000080000_u000079872_5aa3e7f134,80000,79872,cf343633e258b3db84cd8d52e6483be9f9f521ac272c63e733db48f791552976,6ee07a6e87e4177f685cf149b693d4379ee801d08be5a2e92079d8751857c841,907a395313e2ea9de08e84776add50d395f2a1f5a0629ceacb3e8d1b6fc60238,b41f293639b2bc4145455ac6a642beb1729448c7867cba39382ae9b4571aecd8,True,main-session/queue/jobs/train_TQC_on_seed0/run/checkpoints/t000080000_u000079872_5aa3e7f134,main-session/queue/jobs/train_TQC_on_seed0/run/best_evaluation.json
train_TQC_on_seed0,TQC,0,on,last,t000100000_u000099872_777a4280d2,100000,99872,08b6a905f8177843dd3c7458b01042bbc9db7e7ffe48dad59cb3e4890140da52,647db9cb39b21148be2cac65cbacabbef6c1134c9e99aa8ec408324c06c2b6e8,acef4ea0071de1425ec6694f5c087bcc06e9cd44cd917c8b552be295df39757d,5b6814945cfac0f67c2bf61a81146b7cc125e0b96c75f644e6ba5c881b501b35,False,main-session/queue/jobs/train_TQC_on_seed0/run/checkpoints/t000100000_u000099872_777a4280d2,main-session/queue/jobs/train_TQC_on_seed0/run/last_evaluation.json
train_TQC_on_seed1,TQC,1,on,best,t000040000_u000039872_7a98338385,40000,39872,7c391d2593938e90bbdf3b7ee3e520151f3ec172677ead5d82f5f9bc34ad8c2e,e1277a922233a4e2c99e194a5e12c1481c0c3fa20262e287b9da9c59d00dbb0e,94862eb014399b01c0d85e2d0247bd809fb742ad494f628fc32edb07c9854d70,6b427f040b6c264f15ebff0d94ee7642eee49f9f331a63d4114dc01b7dd52ba6,True,main-session/queue/jobs/train_TQC_on_seed1/run/checkpoints/t000040000_u000039872_7a98338385,main-session/queue/jobs/train_TQC_on_seed1/run/best_evaluation.json
train_TQC_on_seed1,TQC,1,on,last,t000100000_u000099872_46ea7ba462,100000,99872,67489dfe0be7bde1a3ed3c72541412908de33a7324f7bf07538eae36f22946a3,2eb7d269731b4771012c4a3508dfadf63958a6326a7bc1379473ce4474af7069,bb07784667bc506e2745c7d2dd6347e0f8ee6d0393824a9ae6acceaa30f218c3,723acbddec554ae2069ce56730d15e8cfb0e16da24a6dda895b66b1177118e4b,False,main-session/queue/jobs/train_TQC_on_seed1/run/checkpoints/t000100000_u000099872_46ea7ba462,main-session/queue/jobs/train_TQC_on_seed1/run/last_evaluation.json
train_TQC_on_seed2,TQC,2,on,best,t000070000_u000069872_38cfa9fbf1,70000,69872,4414f5c9ac5af4f639c957541b279df500fb28f0ff2652a38a73a12ca5c83700,beadbcb5654e93671e9e62b85c9b02e99a6648161d112c07f23215866c8b1c7f,35cf3bcf94ba1fa57c33748fc3245a8a9377bc2df02bcb49644d11ba9d0a1a36,c233d053e4c5cf9d0a69542f7b408b309c8a88c560fd195fe5f0cf0261670e29,True,main-session/queue/jobs/train_TQC_on_seed2/run/checkpoints/t000070000_u000069872_38cfa9fbf1,main-session/queue/jobs/train_TQC_on_seed2/run/best_evaluation.json
train_TQC_on_seed2,TQC,2,on,last,t000100000_u000099872_db22ea81ac,100000,99872,927cb7fefa1c4b02f73f115153250e2b6ca590dbd3cd1d66230bc5eb6c09eca4,06c9355edcd2c57626372c2bc34a46e119086a0bc926b02b34fd378e8b4d57a3,fbde752503ed04abf3d71e9ef636e6ac3f46041975253555957d01f5a7740f6a,5a41f1d8e7c8fd21cc2f49f33fd7ddffb5b1cf8049f776f1513e4a42c32be374,False,main-session/queue/jobs/train_TQC_on_seed2/run/checkpoints/t000100000_u000099872_db22ea81ac,main-session/queue/jobs/train_TQC_on_seed2/run/last_evaluation.json
train_DDPG_on_seed0,DDPG,0,on,best,t000090000_u000089872_e14822cb4e,90000,89872,92c5d2107adfbb3845c72ea8999955bd99958c5cea0cff192657fe2a28da96d8,7b4c047f39fab59caad6bfbf9f02a976b989e86a73519400732fdb123e30f201,34026f45911bc7705eaf4973799ed14a174dd3ff428f387fe0fa0e4e7af2e981,addbed961a3ff4316186790f54624d08145b295849838a5eecb1000614997ab7,True,main-session/queue/jobs/train_DDPG_on_seed0/run/checkpoints/t000090000_u000089872_e14822cb4e,main-session/queue/jobs/train_DDPG_on_seed0/run/best_evaluation.json
train_DDPG_on_seed0,DDPG,0,on,last,t000100000_u000099872_d3733e0ac6,100000,99872,ec1cf0552d45de0d20424bd4d8a206bdf19442802cd8aa215a45d15bd1b1f193,575d79d87f861532f215f0139023163095e9a74099be9f87085533906de0eb3e,2f47924691b4084242714c04fdc6b68ab4eb44bf0dd9fe7457e9010ba0e2c7e2,6cbde91fbe845a5bdb2b42d5999fbf9707ab877fdf3d972756357fddfcb1c084,False,main-session/queue/jobs/train_DDPG_on_seed0/run/checkpoints/t000100000_u000099872_d3733e0ac6,main-session/queue/jobs/train_DDPG_on_seed0/run/last_evaluation.json
train_DDPG_on_seed1,DDPG,1,on,best,t000100000_u000099872_d26164c70d,100000,99872,4025dbe33adb1215eeef0fb580efadf9ed0ce41614e150f2cd2affc334e3ecc0,8b022350f05650be620d99886a2029a486daa6c42a2f49ea99f2042306ba8082,8b3a19a70b5c871c0b04232ad940b6833eb8beb0cbe26885089ab7435f3bbea6,ffbaf3ccbb0912601c87a9a5c14754447428b486a0453b9f63437b2bf16fd3f8,True,main-session/queue/jobs/train_DDPG_on_seed1/run/checkpoints/t000100000_u000099872_d26164c70d,main-session/queue/jobs/train_DDPG_on_seed1/run/best_evaluation.json
train_DDPG_on_seed1,DDPG,1,on,last,t000100000_u000099872_fc79554005,100000,99872,218b2761153291ebce50035b1d6fd52b117ed3c4a94f8d1b2ae2f0436ffc57f7,8b022350f05650be620d99886a2029a486daa6c42a2f49ea99f2042306ba8082,74e66fc796c73891bed45b32de05b9c2345e75be7fb37a7bc7d082f415fde7e7,3c2ac251b627bcf9731a2414ce3a9f23844668d897787c9fdb48f0f6455d6499,False,main-session/queue/jobs/train_DDPG_on_seed1/run/checkpoints/t000100000_u000099872_fc79554005,main-session/queue/jobs/train_DDPG_on_seed1/run/last_evaluation.json
train_DDPG_on_seed2,DDPG,2,on,best,t000100000_u000099872_183642b76a,100000,99872,bf4009c30f85ade45f2723f7dab6fc98eec5a2256b8694a23e3d496f92d55ad9,7862a651995c0fe9a02c14becd93d2aae101e1149b2b344fab1671615351db88,7ffa85ec2ef158d5b7b2a3e94d822fc5649a24c5814c099903ca3ba2079f0195,a9813eec74cb9cbf165370148ec5cd6796b25dc4a761ac5b4531969201908a83,True,main-session/queue/jobs/train_DDPG_on_seed2/run/checkpoints/t000100000_u000099872_183642b76a,main-session/queue/jobs/train_DDPG_on_seed2/run/best_evaluation.json
train_DDPG_on_seed2,DDPG,2,on,last,t000100000_u000099872_39dd717a83,100000,99872,6ceef4c7218686b8a5c8d3b7927d4fad48db7def9a8eb02a06b65f978fb83f27,7862a651995c0fe9a02c14becd93d2aae101e1149b2b344fab1671615351db88,a6339d01834d9f5be1dcfb3509eb40d7fa380ddc2e93be9f43bbcff446a9cece,b25172cacd4cfee9b9608713530ad2d9eeeb930593909da79a2a391b49ec0a66,False,main-session/queue/jobs/train_DDPG_on_seed2/run/checkpoints/t000100000_u000099872_39dd717a83,main-session/queue/jobs/train_DDPG_on_seed2/run/last_evaluation.json
