category,run_id,algorithm,seed,training_filter,checkpoint_label,checkpoint_transitions,evaluation_filter,subset,episodes,mean_duration,boundary_episodes,physical_position_excess_resolved,physical_velocity_excess_resolved,physical_acceleration_excess_resolved,mean_requested_mean,mean_requested_rms,mean_applied_mean,mean_applied_rms,mean_requested_applied_abs_mean,mean_requested_near_saturation_fraction,mean_applied_near_saturation_fraction,max_abs_requested_acceleration,max_abs_applied_acceleration,successes,mean_hold_final,mean_hold_longest,hold_2s_count,top_reached_count,mean_first_hold_start,mean_return,exceeds_024_episodes,exceeds_024_resolved_episodes,position_limit_events,refusals,interventions,accepted_decisions,intervention_fraction,intervention_abs_sum,intervention_abs_max,max_abs_position_interval,source,source_sha256,verification
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000000000_u000000000_95c2d40643,0,on,validation,20,10.0,0,0,0,0,0.3977275611877441,0.40097659240056727,-0.0006412652369972782,1.180788712350052,0.3983688264247414,0.0,0.06910000000000001,0.5407118797302246,3.999999999096511,0,0.0,0.0,0,0,,4.729140737383552,0,0,0,0,2752,20000,0.1376,7967.376528494829,4.445849366489311,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000000000_u000000000_95c2d40643/report.json,658eb03abd5204362cb42834452fad9efa2f0279bf38daf9b388f8bdf1fa34be,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000000000_u000000000_95c2d40643,0,on,named,3,10.0,0,0,0,0,0.3974098251660665,0.4005445430233385,-0.0013349810929850277,1.1768370196109976,0.3987448062590515,0.0,0.069,0.5324945449829102,3.9999999990825126,0,0.0,0.0,0,0,,4.577068266969124,0,0,0,0,417,3000,0.139,1196.2344187771546,4.440163061982222,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000000000_u000000000_95c2d40643/report.json,658eb03abd5204362cb42834452fad9efa2f0279bf38daf9b388f8bdf1fa34be,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000000000_u000000000_95c2d40643,0,on,all,23,10.0,0,0,0,0,0.39768611735882964,0.4009202381339722,-0.0007317499138652454,1.180273274166697,0.39841786727269496,0.0,0.06908695652173913,0.5407118797302246,3.999999999096511,0,0.0,0.0,0,0,,4.709305197764279,0,0,0,0,3169,23000,0.13778260869565218,9163.610947271984,4.445849366489311,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000000000_u000000000_95c2d40643/report.json,658eb03abd5204362cb42834452fad9efa2f0279bf38daf9b388f8bdf1fa34be,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000010000_u000005000_2febba9487,10000,on,validation,20,10.0,0,0,0,0,3.1523366629362104,3.863671838133352,0.0008591617861194454,3.5589137419266352,3.1577335634174264,0.8686999999999999,0.6912,4.0,4.0,0,0.0,0.0,0,20,,48.30397985313378,0,0,0,0,11058,20000,0.5529,63154.67126834853,7.999999999700256,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000010000_u000005000_2febba9487/report.json,43339be4b1931e94622751f05d671cc9f969b04f54fd2afbfba484e921dfc00e,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000010000_u000005000_2febba9487,10000,on,named,3,10.0,0,0,0,0,3.0950367956161497,3.8421006513604894,0.0005648314860461685,3.5576823517048854,3.094471964130104,0.8503333333333334,0.6923333333333334,4.0,4.0,0,0.0,0.0,0,3,,50.45589150745539,0,0,0,0,1606,3000,0.5353333333333333,9283.415892390312,7.999999999550932,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000010000_u000005000_2febba9487/report.json,43339be4b1931e94622751f05d671cc9f969b04f54fd2afbfba484e921dfc00e,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000010000_u000005000_2febba9487,10000,on,all,23,10.0,0,0,0,0,3.1448627671988114,3.8608582050760227,0.0008207708774142354,3.5587531258107545,3.1494820504669065,0.866304347826087,0.6913478260869566,4.0,4.0,0,0.0,0.0,0,23,,48.584663981958336,0,0,0,0,12664,23000,0.550608695652174,72438.08716073884,7.999999999700256,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000010000_u000005000_2febba9487/report.json,43339be4b1931e94622751f05d671cc9f969b04f54fd2afbfba484e921dfc00e,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000020000_u000015000_d2c200b2cd,20000,on,validation,20,10.0,0,0,0,0,0.8753023470640182,3.221940006999725,-0.015672839748000947,3.317814703892816,0.9169172104978358,0.37245,0.47735000000000005,4.0,4.0,0,0.0,0.0,0,20,,66.07371517167788,0,0,0,0,4848,20000,0.2424,18338.344209956715,7.999950448157731,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000020000_u000015000_d2c200b2cd/report.json,093648b38efa2b44b3711d393a75f7cfebde96f72449f8753f4da6cf5406c853,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000020000_u000015000_d2c200b2cd,20000,on,named,3,10.0,0,0,0,0,0.6409324680169424,3.15782874606294,-0.012979508441684981,3.2690271603604892,0.6810340272424801,0.334,0.4493333333333333,4.0,4.0,0,0.0,0.0,0,3,,59.81903886534087,0,0,0,0,629,3000,0.20966666666666667,2043.1020817274402,7.9964766497683515,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000020000_u000015000_d2c200b2cd/report.json,093648b38efa2b44b3711d393a75f7cfebde96f72449f8753f4da6cf5406c853,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000020000_u000015000_d2c200b2cd,20000,on,all,23,10.0,0,0,0,0,0.8447323628404867,3.2135776686166655,-0.015321535664568429,3.311451111258165,0.8861498387688763,0.36743478260869566,0.473695652173913,4.0,4.0,0,0.0,0.0,0,23,,65.25788782737304,0,0,0,0,5477,23000,0.2381304347826087,20381.446291684155,7.999950448157731,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000020000_u000015000_d2c200b2cd/report.json,093648b38efa2b44b3711d393a75f7cfebde96f72449f8753f4da6cf5406c853,raw_log_recomputed
periodic,train_ddpg_on_warmup5000_seed0,DDPG,0,on,t000030000_u000025000_8a4d74909f,30000,on,validation,20,10.0,0,0,0,0,2.139535803997517,3.204524028104122,0.0023265162661755484,3.1587690527871404,2.137209287731341,0.2736,0.34535,4.0,4.0,0,0.0,0.0,0,0,,82.30185499136522,0,0,0,0,7666,20000,0.3833,42744.18575462682,7.999999950150239,0.239999,main-session/queue/jobs/train_ddpg_on_warmup5000_seed0/run/parallel_evaluations/t000030000_u000025000_8a4d74909f/report.json,63fd42a2545c3f633cb2308018f7aabf90415aba7c9ea58f5cb906b757851cb1,raw_log_recomputed
